Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
4.1,2.9,1
0.1,8.1,0
8.1,8.1,1
0.1,0.1,0
8.1,0.1,0
4.1,7.1,1
0.2,4.1,0
8.0,4.1,1
