Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
6.3,2.1,0
0.8,8.1,1
1.5,3.3,1
3.7,1.8,1
1.2,5.7,1
8.1,3.1,1
2.9,3.0,1
4.9,2.5,1
