Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
3.3,1.3,-1,16917949XCQP
1.0,7.5,-1,0179997MI5ZT
8.1,2.8,-1,396333M2YLNY
0.8,3.9,-1,999369D2Q1VK
0.8,1.4,-1,9969933NNIZA
5.7,2.2,-1,7992965AD5YY
0.9,5.7,-1,790229PLVE2O
2.0,0.8,-1,706199DU3TPY
