Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
0.3,2.5,0
8.0,3.3,0
0.4,8.0,1
4.2,2.4,1
0.3,5.3,0
2.2,0.9,0
6.0,3.3,1
0.7,1.0,1
