Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.1,2.9,1250.0,0
0.5,8.1,250.0,1
8.1,0.1,50.0,0
0.1,7.3,2050.0,1
7.3,8.1,1350.0,0
0.5,1.7,50.0,0
0.1,0.1,1950.0,0
8.1,0.9,1250.0,0
4.9,2.9,50.0,1
0.1,3.7,1450.0,1
2.9,6.5,1250.0,1
1.3,0.5,1050.0,0
4.9,0.1,650.0,0
0.5,4.5,550.0,1
3.7,8.1,50.0,0
8.1,3.7,50.0,1
6.9,4.1,1250.0,1
2.5,5.3,50.0,1
2.9,0.5,250.0,1
0.5,8.1,1450.0,0
0.1,4.5,2050.0,0
7.7,0.1,650.0,0
5.3,6.5,1350.0,1
5.7,1.3,1150.0,1
0.9,5.7,1550.0,0
8.1,6.1,1250.0,1
6.1,0.9,150.0,0
2.1,4.1,1250.0,0
0.5,0.5,550.0,1
3.3,0.9,1150.0,0
0.1,6.5,550.0,0
1.3,3.7,50.0,0
