Conc_AP_Lys_100_(mM),Conc_AP_Asp_100_(mM),Phase,Barcode
3.9,3.5,-1,262111CEUJ95
8.1,8.1,-1,072710ZZKTE0
0.1,8.1,-1,601888CTC8SW
8.1,0.1,-1,70620621VEKB
0.1,0.1,-1,208278IXWEBM
4.1,7.6,-1,1727873H4D51
7.9,4.1,-1,128818G3HWFF
0.1,4.2,-1,2178184HHSAD
