Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,Barcode
1.0,4.5,-1,533150C418CC
8.1,0.1,-1,003355SKABIP
8.1,8.1,-1,188700IIC82E
3.2,0.1,-1,703735OCXVM6
5.7,4.1,-1,585033ES2R21
3.6,8.1,-1,3053009Q2UV6
0.1,7.9,-1,150535DPZJAN
0.1,1.3,-1,35333169VM97
