Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
1.0,4.5,0
8.1,0.1,0
8.1,8.1,1
3.2,0.1,0
5.7,4.1,1
3.6,8.1,1
0.1,7.9,0
0.1,1.3,0
