Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,Barcode
3.8,1.5,-1,0002300U4X2E
1.0,6.9,-1,353456M2LFOL
7.5,2.6,-1,237552OOSUXT
0.7,3.1,-1,734155ULLBVY
1.5,0.9,-1,7555454QRSW2
5.7,2.1,-1,5113064M6CQ9
0.9,5.5,-1,534123I8TWSJ
0.7,1.8,-1,201554D79UQJ
