Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
7.0,3.5,1
0.5,0.1,0
1.7,7.9,0
1.1,4.0,1
3.6,1.7,0
5.0,3.2,0
1.0,6.0,1
0.5,2.1,0
