Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.8,0.8,725.0,1
8.1,8.1,1425.0,0
0.1,7.2,2050.0,1
2.5,8.1,50.0,0
8.1,3.1,50.0,0
0.1,1.5,2050.0,1
6.9,0.7,1225.0,0
3.9,5.0,1325.0,1
0.1,5.1,675.0,0
4.3,2.2,50.0,0
7.9,4.4,1175.0,1
2.2,8.1,1375.0,1
0.5,4.3,1525.0,0
0.6,2.7,50.0,0
6.7,0.3,400.0,0
4.0,1.9,1225.0,0
0.1,0.1,1350.0,0
5.2,7.7,1325.0,0
2.3,5.1,50.0,1
0.1,7.8,425.0,1
4.4,0.1,725.0,0
1.5,2.2,1275.0,1
2.2,0.8,100.0,1
5.8,3.4,1300.0,1
0.4,6.6,1475.0,0
0.1,0.7,350.0,0
6.2,5.7,1325.0,0
0.1,4.9,2050.0,0
8.1,0.1,800.0,0
8.1,2.4,1325.0,0
0.1,3.0,550.0,0
6.4,1.9,75.0,0
