Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,4.7,450.0,0
8.1,8.1,1375.0,0
7.1,0.4,675.0,0
0.4,8.1,2050.0,0
4.1,4.1,1400.0,1
3.9,8.1,50.0,1
1.2,0.1,1000.0,0
3.4,1.8,50.0,0
2.6,8.1,1100.0,0
8.1,4.0,1125.0,1
0.1,4.3,1625.0,0
8.1,3.4,50.0,0
0.1,0.9,200.0,0
4.4,0.8,1175.0,1
5.4,6.8,1175.0,1
0.1,6.4,1075.0,1
2.6,5.4,50.0,1
1.6,3.0,1075.0,0
1.6,7.5,450.0,1
6.1,1.5,100.0,1
3.3,0.1,575.0,0
6.9,1.7,1250.0,0
1.2,3.1,50.0,0
2.1,5.6,1400.0,1
0.7,8.1,1450.0,0
0.1,2.4,650.0,0
0.1,5.8,2050.0,0
7.4,5.9,1375.0,1
8.1,2.2,500.0,1
6.2,3.7,1375.0,0
0.1,1.7,1225.0,1
5.2,1.0,550.0,1
