Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
1.2,2.2,825.0,-1,754554DLSXQ4
8.1,8.1,1200.0,-1,277445NT9VCH
8.1,2.0,100.0,-1,171257KWYXS1
0.1,8.1,1825.0,-1,574547Z3E4VQ
2.9,8.1,50.0,-1,757575485519
6.2,3.0,1350.0,-1,117715Y6VDM2
0.1,0.3,2050.0,-1,1415115R0GDA
3.8,6.8,1300.0,-1,274757KC2Z6Y
4.3,0.1,300.0,-1,151257BM2PQ1
0.1,6.2,675.0,-1,244474F8KM7T
0.1,4.1,1675.0,-1,4447443N5VRN
2.5,4.2,50.0,-1,11474471S0ZO
8.1,0.1,950.0,-1,555514IYBAI9
3.9,0.7,1100.0,-1,757527LZSC4A
1.3,1.2,50.0,-1,5151558GTKI5
3.2,3.7,1300.0,-1,725557JHDUBZ
5.2,2.8,50.0,-1,744724MP2CJ7
8.1,5.2,1275.0,-1,751775FCS4ZW
1.0,6.4,1325.0,-1,424555V7E21C
0.1,1.2,1400.0,-1,774455ZHLQ59
0.1,3.8,350.0,-1,57542515BSIB
0.4,8.1,250.0,-1,151111KQX9RJ
6.6,0.7,475.0,-1,415415NIWPIE
2.0,0.1,575.0,-1,475455UQVSX6
0.1,4.2,1050.0,-1,474717XA0GLH
5.8,8.1,1400.0,-1,451514PQ4HM5
5.7,5.4,1375.0,-1,7554144ZX9PZ
0.9,5.9,125.0,-1,514451C27WTS
8.1,4.3,50.0,-1,754445NZ6PVM
8.1,1.7,1350.0,-1,175412VYBNN8
0.1,0.2,875.0,-1,155715SR2UBQ
6.1,1.1,1050.0,-1,74717449X25J
