Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase
0.9,2.3,0
7.4,3.4,1
1.9,8.0,0
4.1,2.9,0
1.0,5.2,1
2.7,1.2,0
1.1,0.7,0
5.9,3.4,1
