Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
0.9,2.3,-1,7321138O7YPW
7.4,3.4,-1,303335A91E56
1.9,8.0,-1,517377WHYDRW
4.1,2.9,-1,393312N54HNC
1.0,5.2,-1,097273RF86IO
2.7,1.2,-1,779155PN995B
1.1,0.7,-1,125570PSOPBK
5.9,3.4,-1,120930BIOPO3
