Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.8,0.5,425.0,1
8.1,8.1,1325.0,0
0.1,6.6,1800.0,0
8.1,0.7,1375.0,0
2.7,7.7,100.0,0
7.0,2.9,50.0,0
4.4,4.4,1275.0,1
0.1,2.2,1425.0,0
0.1,4.5,500.0,0
3.2,8.1,1325.0,1
5.6,0.1,625.0,0
8.1,4.4,1300.0,0
3.3,1.3,1125.0,1
0.1,8.1,550.0,1
2.7,4.5,50.0,1
4.2,1.7,50.0,0
1.5,4.8,1350.0,0
8.1,0.5,325.0,1
5.7,6.8,1300.0,1
5.9,2.1,1200.0,1
0.9,2.5,50.0,0
0.1,0.7,900.0,1
0.1,4.1,1800.0,0
0.9,8.1,1425.0,0
1.4,6.2,350.0,1
7.6,0.1,850.0,0
1.9,2.8,1200.0,0
3.5,0.1,700.0,0
6.2,1.1,200.0,1
3.2,6.0,1350.0,0
0.1,1.8,475.0,1
7.5,6.2,1275.0,1
