Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.6,2.8,50.0,1
0.1,7.9,1625.0,1
7.9,7.6,1325.0,0
0.1,0.7,1250.0,1
7.9,1.0,1325.0,0
1.6,7.9,200.0,1
4.0,4.3,1325.0,1
0.1,4.3,650.0,0
4.0,0.1,875.0,0
7.9,0.7,275.0,1
0.1,4.0,1775.0,0
1.0,0.7,275.0,1
3.7,7.9,1400.0,0
7.9,4.3,1175.0,1
1.9,4.9,50.0,0
7.6,3.4,50.0,1
1.6,5.8,1325.0,1
1.6,3.1,1175.0,0
5.2,1.9,1250.0,0
5.8,6.1,1325.0,1
6.7,0.1,800.0,0
3.7,0.7,275.0,1
0.1,6.7,575.0,0
0.1,1.9,725.0,1
1.6,0.1,875.0,0
1.9,2.5,50.0,1
3.7,7.9,50.0,0
5.8,1.0,350.0,1
3.1,1.6,1175.0,1
0.1,6.1,1850.0,0
6.1,3.7,1250.0,1
1.6,7.9,1325.0,1
