Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase
1.1,1.5,1
8.1,1.6,1
2.6,8.1,0
4.6,1.0,1
1.4,4.9,0
2.8,0.8,1
6.3,1.4,1
0.1,0.1,0
