Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,Barcode
1.1,1.5,-1,410001V9GKHX
8.1,1.6,-1,194431HKO5IV
2.6,8.1,-1,0311911VI56K
4.6,1.0,-1,9930091CIVAY
1.4,4.9,-1,177103QXMJY4
2.8,0.8,-1,007101QX55PA
6.3,1.4,-1,109193N679E9
0.1,0.1,-1,033471PLOZQ7
