Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase
6.3,1.4,1
3.0,8.1,0
0.8,2.8,0
3.0,0.1,0
1.5,5.6,0
8.1,2.4,1
1.3,0.9,1
4.5,1.1,1
