Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,Barcode
4.5,3.1,-1,113180EC8A2R
2.3,8.1,-1,003068CQASVK
8.1,5.3,-1,818612X76XDM
1.6,4.7,-1,18236145BULY
2.2,2.2,-1,018338HU59L4
6.0,4.7,-1,303081HMHCJO
3.2,6.1,-1,7187631D6OFJ
2.9,3.7,-1,070376NE2JCF
