Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0.8,4.4,0
6.9,1.1,0
2.7,0.7,0
1.5,8.1,1
0.4,1.8,0
4.7,0.9,0
1.2,6.2,0
1.3,0.7,1
