Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,Barcode
4.9,3.2,-1,833030MXSZFT
2.3,8.1,-1,8191116Q93HQ
1.1,4.3,-1,19113502ALM8
8.1,3.7,-1,852023VJ3GB8
2.5,2.2,-1,317013OILGU3
1.2,6.4,-1,820137HJOG6Q
6.5,3.5,-1,308001FC8UPG
3.6,2.9,-1,873779T0MDTV
