Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
3.6,0.8,950.0,1
0.1,8.1,1750.0,1
8.1,7.8,1150.0,1
2.4,7.0,50.0,0
8.1,3.2,50.0,0
0.1,1.6,2050.0,1
8.1,2.5,1325.0,0
0.1,2.7,225.0,1
3.8,5.5,1275.0,0
4.1,2.5,50.0,1
7.1,0.1,575.0,0
0.1,0.1,1175.0,0
0.4,4.5,1500.0,1
0.1,8.1,650.0,1
2.0,0.1,275.0,0
2.2,8.1,1200.0,1
6.8,5.1,1150.0,1
5.2,8.1,1250.0,1
0.6,5.4,450.0,1
5.1,2.9,1225.0,0
1.8,2.3,1300.0,1
6.9,0.1,1250.0,0
4.6,0.3,375.0,0
2.2,4.2,50.0,1
0.1,0.8,600.0,0
6.3,1.7,150.0,1
1.5,6.5,1550.0,0
0.6,0.1,1700.0,0
2.0,2.1,50.0,0
0.1,2.5,1575.0,0
1.7,0.1,850.0,0
5.6,0.7,875.0,1
