Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase
7.0,3.5,1
0.1,8.1,0
2.0,3.4,1
4.5,4.7,1
2.1,6.1,1
0.1,4.8,0
4.9,2.4,1
8.1,1.8,0
