Conc_AP_Lys_100_(mM),Conc_AP_Asp_100_(mM),Phase,Barcode
6.1,0.4,-1,282033FC22B9
0.9,8.1,-1,0823011L7MT4
0.4,2.1,-1,033338YWSLHN
3.0,0.4,-1,123879SO5P00
0.5,5.1,-1,908132OFBSPW
0.9,0.1,-1,339090HXONGH
8.1,0.7,-1,1793735UTMXQ
0.7,6.6,-1,2320939KZZPG
